Timestamp,How old are you?,What industry do you work in?,Job title,What is your annual salary?,Please indicate the currency,Where are you located? (City/state/country),How many years of post-college professional work experience do you have?,"If your job title needs additional context, please clarify here:","If ""Other,"" please indicate the currency here: "
4/24/2019 11:43:21,35-44,Government,Talent Management Asst. Director,75000,USD,"Nashville, TN",11 - 20 years,,
4/24/2019 11:43:26,25-34,Environmental nonprofit,Operations Director,"65,000",USD,"Madison, Wi",8 - 10 years,,
4/24/2019 11:43:27,18-24,Market Research,Market Research Assistant,"36,330",USD,"Las Vegas, NV",2 - 4 years,,
4/24/2019 11:43:27,25-34,Biotechnology,Senior Scientist,34600,GBP,"Cardiff, UK",5-7 years,,
4/24/2019 11:43:29,25-34,Healthcare,Social worker (embedded in primary care),55000,USD,"Southeast Michigan, USA",5-7 years,,
4/24/2019 11:43:29,25-34,Information Management,Associate Consultant,"45,000",USD,"Seattle, WA",8 - 10 years,,
4/24/2019 11:43:30,25-34,Nonprofit ,Development Manager ,"51,000",USD,"Dallas, Texas, United States",2 - 4 years,"I manage our fundraising department, primarily overseeing our direct mail, planned giving, and grant writing programs. ",
4/24/2019 11:43:30,25-34,Higher Education,Student Records Coordinator,"54,371",USD,Philadelphia,8 - 10 years,equivalent to Assistant Registrar,
4/24/2019 11:43:34,35-44,Libraries ,Director ,45000,USD,"Bridgeport, mi. Usa",8 - 10 years,,
4/24/2019 11:43:35,25-34,Business Services,Copywriter,80000,USD,DC,11 - 20 years,,
4/24/2019 11:43:35,35-44,construction fastener sales,office manager,"72,000",USD,Brick NJ,21 - 30 years,I do sales and stock management as well - small office only 4 people,
4/24/2019 11:43:35,25-34,Mental Health,HR and Administrative Coordinator,"50,000",USD,"Baltimore, Maryland, USA",5-7 years,"one-man HR department and oversee administrative support for regional offices, staff events and trainings for a nonprofit",
4/24/2019 11:43:37,25-34,Telecommunications,Marketing Manager,73 000$,CAD,"Montreal, QC, Canada",8 - 10 years,,
4/24/2019 11:43:37,25-34,Market research,Senior research executive,"30,000",GBP,"London, UK",5-7 years,,
4/24/2019 11:43:38,25-34,Education,Teacher,54000,USD,Geirgia,8 - 10 years,,
4/24/2019 11:43:39,35-44,Business Consulting,Senior Consultant,"$75,000.00",USD,"New Jersey, USA",11 - 20 years,Technical Writer,
4/24/2019 11:43:39,25-34,Higher Ed,Associate Professor,"52,000",USD,Pittsburgh/PA/USA,8 - 10 years,Community College,
4/24/2019 11:43:39,35-44,communications,communiity investment officer,68000,CAD,"ottawa, ontario, canada",8 - 10 years,,
4/24/2019 11:43:40,35-44,Film & Television,Visual Effects Compositor ,"50,000",CAD,Toronto/ON/Canada,2 - 4 years,,
4/24/2019 11:43:41,25-34,media,senior marketing manager,90000,USD,"Washington, DC",8 - 10 years,,
4/24/2019 11:43:42,25-34,Publishing,Assistant Media Editor,"$41,000.00",USD,"New York, NY, USA",2 - 4 years,,
4/24/2019 11:43:42,25-34,Non-profit,Assistant Director of Development Research,"$67,500.00",USD,"Boston, MA, USA",5-7 years,,
4/24/2019 11:43:44,25-34,academic library,Public Services Coordinator,"50,000",USD,"MA, USA",11 - 20 years,I manage the circulation desk and student shelvers,
4/24/2019 11:43:44,35-44,Higher education,Instructional Consultant,"58,000",USD,"Wisconsin, U.S.",5-7 years,,
4/24/2019 11:43:47,25-34,Events,Event Producer,"70,000",USD,"Berkeley, CA, USA",5-7 years,,
4/24/2019 11:43:48,25-34,IT ,Support QA Lead,"71,000",USD,Maryland,5-7 years,,
4/24/2019 11:43:48,25-34,state government - business mgmt/facilities,Associate Governmental Program Analyst,60000,USD,"Sacramento, CA USA",5-7 years,"catch all title for higher level admin/analyst work. 1 step below management level. pay negotiated by union, set raises at fiscal year (COL/varies) and anniversary (5%), non-negotiable pay, set ranges for pay for each job title where everyone starts at base and can max out after a couple of years.",
4/24/2019 11:43:48,35-44,not for profit,convention coordinator,63 000,CAD,,11 - 20 years,,
4/24/2019 11:43:49,35-44,Pet care,Pet sitter,"$15,000.00",USD,"Pittsburgh, PA",5-7 years,,
4/24/2019 11:43:49,45-54,Federal contractor for science-related agency,Senior Research Scientist,"106,000",USD,"Hampton Roads, VA, USA",11 - 20 years,,
4/24/2019 11:43:49,45-54,County Government,Department Head,"$71,000.00",USD,"Milwaukee, Wisconsin USA",21 - 30 years,,
4/24/2019 11:43:52,35-44,Non-profit,Grant Writer & Planner,"45,000",USD,Miami,8 - 10 years,,
4/24/2019 11:43:53,25-34,Catering,Catering Lead,45000,USD,San Francisco/CA/USA,2 - 4 years,,
4/24/2019 11:43:54,35-44,Construction,Human Resources Manager,95000,USD,"Virginia, United States",11 - 20 years,,
4/24/2019 11:43:54,45-54,Property Management,Property Manager,"139,000.00",USD,"Washington, DC",21 - 30 years,,
4/24/2019 11:43:55,18-24,E-commerce,Business Analyst,68000,USD,"Boston, MA, United States of America",1 year or less,,
4/24/2019 11:43:56,35-44,Media,Senior Editor,79000,USD,,11 - 20 years,,
4/24/2019 11:43:57,45-54,Design Build,Content Marketing Specialist,56000,USD,St. Louis/Missouri/USA,21 - 30 years,,
4/24/2019 11:43:57,45-54,Academia,Personnel Coordinator,42000,USD,NC,21 - 30 years,,
4/24/2019 11:43:57,18-24,Tech/Marketing,Content Editor,"36,000",CAD,"Toronto, Ontario",1 year or less,"I work for a tech start-up, but my role involves creating and editing content for the company's online magazine, so it's more of an editorial/marketing job than a tech job.",
4/24/2019 11:43:57,25-34,tech,Executive Assistant ,"77,000",USD,"San Francisco, CA",5-7 years,,
4/24/2019 11:43:58,25-34,Museum ,Collection Managet,"40,000",USD,Indiana,5-7 years,I manage the museum collection. All artifact donations and care fall under me.,
4/24/2019 11:43:59,25-34,Consulting,Project Leader,150000,EUR,Italy,8 - 10 years,,
4/24/2019 11:43:59,25-34,non-profit,Administrative Assistant,"41,000",USD,"Tulsa, OK",8 - 10 years,,
4/24/2019 11:44:00,18-24,Education,Administrative Assistant,"42,000",USD,"New Orleans, LA, USA",2 - 4 years,,
4/24/2019 11:44:00,25-34,Grants administration,Grants Assistant,"28,000",GBP,"London, England",11 - 20 years,,
4/24/2019 11:44:00,25-34,Education ,English Teacher,"81,500",USD,Boston/Massachusetts/USA,5-7 years,High School,
4/24/2019 11:44:01,25-34,Government,Biologist,"86,179",USD,"Alexandria, VA, USA",2 - 4 years,"I do not do actual research, I review grants",
4/24/2019 11:44:02,25-34,Banking,Academic specialist,"42,000",USD,"Philadelphia, PA",8 - 10 years,I do customer service and administer a scholarship for a not for profit organization for bankers,
4/24/2019 11:44:03,25-34,Mental health,Social worker,51500,USD,"St. Paul, Minnesota",2 - 4 years,,
4/24/2019 11:44:04,35-44,Networking,Business Intelligence Analyst,109000,USD,"North Carolina, USA",11 - 20 years,,
4/24/2019 11:44:05,25-34,National Security/Academia,Project Manager,61700,USD,"Blacksburg, Virginia",5-7 years,Manage projects in engineering areas including signal classification and electronic warfare,
4/24/2019 11:44:05,25-34,journalism,senior editor,"$87,000.00",USD,"Nashville, TN, USA",11 - 20 years,,
4/24/2019 11:44:05,25-34,Natural Gas,Contract Administrator,"51,700",USD,Gainesville FL,8 - 10 years,,
4/24/2019 11:44:05,25-34,Health insurance,Project specialist,"42,000ish",USD,"Boston, MA, USA",8 - 10 years,,
4/24/2019 11:44:06,35-44,Veterinary medicine ,Practice manager,"$50,000.00",USD,"Pittsburgh, Pa",11 - 20 years,,
4/24/2019 11:44:07,45-54,Education,Executive Director,"$90,000.00",USD,Kentucky USA,11 - 20 years,Public Library,
4/24/2019 11:44:07,35-44,Public Libraries,Library Director,"51,000 including health insurance stipend",USD,"Hiawatha, KS, USA",11 - 20 years,,
4/24/2019 11:44:09,35-44,K-12 Education,Lead Programmer,106000,USD,"Sacramento, CA, USA",8 - 10 years,,
4/24/2019 11:44:09,35-44,Wholesale,HR Manager,52000,USD,Springfield/Il/USA,8 - 10 years,,
4/24/2019 11:44:10,35-44,Library (academic),Circulation Supervisor,"31,000",USD,"Denver, CO, USA",11 - 20 years,"I don't have a grad degree, I work in circulation, not at reference.",
4/24/2019 11:44:10,35-44,Government,Systems Administrator,"120,000",USD,"Los Angeles, CA, USA",11 - 20 years,,
4/24/2019 11:44:11,45-54,Consulting,"Director, Consulting",182000,USD,Seattle/WA/USA,21 - 30 years,Management & technology,
4/24/2019 11:44:12,25-34,Consulting,Manager,"110,000",USD,"Washington, DC",8 - 10 years,,
4/24/2019 11:44:13,45-54,Non Profit,Human Resource Manager,"61,500",USD,"Denver, CO",11 - 20 years,,
4/24/2019 11:44:14,25-34,Healthcare,Decision Support Analyst,75500,USD,"Mississippi, USA",8 - 10 years,,
4/24/2019 11:44:15,25-34,Nonprofit (transportation advocacy),Grants Manager,"$57,000.00",USD,"New York, NY, USA",5-7 years,Also serve as Associate Editor for org publications,
4/24/2019 11:44:16,25-34,Marketing/communications,"Director, communications","80,000",USD,"Lapoutroie, France (work remotely in US)",8 - 10 years,,
4/24/2019 11:44:17,25-34,Compliance,Due Diligence Specialist,"$93,500.00",USD,"San Francisco, CA",5-7 years,,
4/24/2019 11:44:19,25-34,Financial services,Senior manager,116245,USD,"New york, ny",11 - 20 years,Project management,
4/24/2019 11:44:19,35-44,Technology Governance,Senior Project Specialist,"82,600",USD,"Bentonville,AR 72758",8 - 10 years,,
4/24/2019 11:44:20,35-44,Academia,Plan Room Librarian,42000,USD,"Raleigh, NC, USA",11 - 20 years,,
4/24/2019 11:44:21,35-44,Finance/Accounting,Full Charge Bookkeeper,39000,USD,"Tucson, AZ, USA",11 - 20 years,,
4/24/2019 11:44:22,25-34,Marketing ,Partner Marketing Managet,"170,000",USD,Chicago IL,8 - 10 years,Channel marketing-b2b,
4/24/2019 11:44:23,35-44,Government,Natural Resource Specialist IV,60000,USD,"Austin, Texas",11 - 20 years,Biologist at Texas Parks and Wildlife,
4/24/2019 11:44:26,25-34,Franchising,Contract Specialist,"67,700",USD,"Madison, NJ, USA",5-7 years,,
4/24/2019 11:44:27,25-34,Hr,Payroll advisor,44310,EUR,Belgium,5-7 years,,
4/24/2019 11:44:27,25-34,Libraries,Director of Planning & Training,65000,USD,Spartanburg/SC/USA,8 - 10 years,in charge of both strategic planning and staff training for library system,
4/24/2019 11:44:31,35-44,Academic non-profit (scientific society),Administrative Assistant,"39,000",USD,"Pittsburgh, PA",11 - 20 years,"I also wear development, event planning, and internal-documentation hats",
4/24/2019 11:44:31,25-34,Natural Gas Detection,Office Administration,"37,000",USD,"Indiana, USA",8 - 10 years,,
4/24/2019 11:44:33,35-44,Photography,Office Manager,"42,000",USD,Phoenix/AZ/USA,11 - 20 years,,
4/24/2019 11:44:34,35-44,Agriculture/Hospitality,Executive Assistant,"$55,000.00",USD,"Tri-Cities, WA",11 - 20 years,"Really, I do everything. EA stuff, restaurant management, private event coordinator, sales, training.",
4/24/2019 11:44:37,35-44,Finance,Financial services manager,42000,USD,Asheville NC USA,8 - 10 years,Teller manager,
4/24/2019 11:44:38,25-34,Accounting,Senior Accountant,75000,USD,"Philadelphia, PA suburbs",2 - 4 years,CPA but work in corporate accounting,
4/24/2019 11:44:38,35-44,Healthcare,Account manager,70070,USD,Blue Bell/PA/USA ,8 - 10 years,,
4/24/2019 11:44:38,25-34,Law,Assistant Appellate Defender,66512,USD,"Santa Fe, NM, USA",8 - 10 years,I’m a mid-level attorney in the appellate division of a public defender’s office,
4/24/2019 11:44:43,45-54,IT (consulting),IT PKI & security expert,660000,SEK,Stockholm/Sweden,21 - 30 years,I’m employed by a consulting company and work with many different companies and government organisations ,
4/24/2019 11:44:44,35-44,Healthcare,Social Worker,"78,000",USD,Brooklyn/NY/USA,11 - 20 years,,
4/24/2019 11:44:45,25-34,higher education,librarian,55000,USD,"Philadelphia, PA",2 - 4 years,,
4/24/2019 11:44:46,25-34,Health & Benefits,Assciate,"85,000",USD,"Atlanta, GA",5-7 years,Consulting,
4/24/2019 11:44:47,35-44,,Finance Director,150000,USD,"Chicago suburbs, IL, USA",21 - 30 years,,
4/24/2019 11:44:49,55-64,Workers Compensation Health Care,Data Analyst,"50,000.00",USD,"Rockwall, Texas, USA",41 years or more,,
4/24/2019 11:44:51,55-64,Legal,Attorney,"125,00",USD,Portland/OR/USA,21 - 30 years,,
4/24/2019 11:44:52,35-44,Financial services,Client service manager,73000,USD,Detroit Michigan usa,11 - 20 years,,
4/24/2019 11:44:53,25-34,Higher education ,Marketing director ,"68,000",USD,"Buies Creek, NC",8 - 10 years,,
4/24/2019 11:44:55,25-34,Federal Government - policy,Policy Advisor,81858,CAD,Ottawa/Ontario/Canada,5-7 years,,
4/24/2019 11:44:55,35-44,Manufacturing,Corporate Controller,"125,000",USD,"Grand Rapids, MI USA",11 - 20 years,,
4/24/2019 11:44:57,18-24,Law,Legal Assistant,"30,000",USD,Chicago/IL/USA,2 - 4 years,Administrative,
4/24/2019 11:44:57,45-54,Travel,Senior Consultant,85000,USD,Suburban Chicago/IL/USA,21 - 30 years,I'm really a data analyst,
4/24/2019 11:44:58,25-34,Higher Education,Social Media Manager,"68,000",USD,"South Bend, Indiana, United States",8 - 10 years,,
4/24/2019 11:44:59,35-44,Higher education,Assistant Dean,"83,220",USD,"Harrisonburg, VA, USA",11 - 20 years,,
4/24/2019 11:45:01,35-44,Nonprofit,Director (in fundraising),98000,CAD,"Vancouver, BC",11 - 20 years,,
4/24/2019 11:45:01,45-54,electric metering/utilities,Senior Proposal Analyst,85000,USD,"Spokane, Washington, USA",21 - 30 years,sales support,
4/24/2019 11:45:01,35-44,Finance,Head of Customer Service,64000,EUR,Finland,11 - 20 years,,
4/24/2019 11:45:03,25-34,Law,Associate Attorney,125000,USD,"Philadelphia, PA, USA",2 - 4 years,,
4/24/2019 11:45:05,35-44,Education,Teacher and administrator,"102,000",USD,"New York, NY",11 - 20 years,,
4/24/2019 11:45:06,18-24,Medical Technology ,Business Data Analysts ,53000,USD,Franklin Lakes/nj/usa ,2 - 4 years,,
4/24/2019 11:45:07,25-34,Financial services ,Copywriter ,£25000.00,GBP,"Manchester, UK",11 - 20 years,,
4/24/2019 11:45:08,25-34,Marketing / consultancy,Senior Account executive ,29000,GBP,United Kingdom,2 - 4 years,,
4/24/2019 11:45:09,35-44,Municipal Govt,Policy Analyst,"$86,000.00",CAD,"Halifax, Nova Scotia, Canada",11 - 20 years,,
4/24/2019 11:45:10,25-34,Insurance,Information Account Executive,66500,USD,"Chicago, IL",11 - 20 years,,
4/24/2019 11:45:10,45-54,Social Work,Lead Facilitator,35K,USD,"Denison, TX USA",21 - 30 years,,
4/24/2019 11:45:10,25-34,Library,Librarian,41600,USD,"Milwaukee, WI, USA",2 - 4 years,,
4/24/2019 11:45:11,25-34,Higher education,Student Affairs Technical Specialist,46418,USD,Western NY,8 - 10 years,I work in the administration side of higher ed working a lot with analyzing our interactions with students and system management and implementation ,
4/24/2019 11:45:11,35-44,Oil and Gas,Chemical Engineer,"100,000",USD,New Orleans/LA/USA,11 - 20 years,,
4/24/2019 11:45:13,45-54,,editor,"$55,000.00",USD,Michigan,21 - 30 years,,
4/24/2019 11:45:13,25-34,IT,systems engineer,80000,USD,"Cleveland, OH, USA",8 - 10 years,,
4/24/2019 11:45:16,25-34,Hospitality,Communications & Digital Marketing Manager,58000,USD,"Morristown, NJ, US",2 - 4 years,,
4/24/2019 11:45:16,35-44,Civil Service,Human Service Specialist 4,59K,USD,Jersey City/New Jersey/USA,11 - 20 years,"Supervisor, first level of manangement.",
4/24/2019 11:45:17,35-44,Municipal Government ,Strategic Advisor,"$111,800.00",CAD,"Toronto, Ontario, Canada",11 - 20 years,,
4/24/2019 11:45:17,25-34,Health and Wellness,Editor-in-Chief,"40,000",USD,"Chicago, IL USA",5-7 years,Editor of a health/wellness media company handling all digital content,
4/24/2019 11:45:20,65 or over,higher education,Associate Professor-Librarian,"$87,000.00",USD,Lawrenceville NJ,21 - 30 years,I'm a librarian who is tenured faculty ,
4/24/2019 11:45:20,45-54,Nonprofit (government & court reform),Program Manager & Staff Attorney,57000,USD,"Chicago, Illinois",21 - 30 years,I split duties between substantive research/advocacy projects & nonprofit management,
4/24/2019 11:45:21,35-44,Education,Senior Library Specialist,41133,USD,Champaign/IL/USA,5-7 years,"(Civil service position, State University)",
4/24/2019 11:45:21,25-34,SaaS Marketing ,Content Writer ,"55,000",CAD,Ottawa/Ontario/Canada ,5-7 years,,
4/24/2019 11:45:22,25-34,Government,Project Coordinator,72000,USD,WA/USA,5-7 years,,
4/24/2019 11:45:24,35-44,Construction,Sr estimator - mechanical,"72,400",USD,"Pittsburgh, PA USA",11 - 20 years,,
4/24/2019 11:45:26,25-34,Education,Administrative Support,50000,CAD,Saskatchewan / Canada,11 - 20 years,,
4/24/2019 11:45:26,35-44,healthcare,HR Consultant,140000,USD,Oakland/CA/USA,11 - 20 years,,
4/24/2019 11:45:30,25-34,Property Management,Property Manager,50000,USD,"Rochester, MN, USA",8 - 10 years,"I also do a lot of additional work in setting up systems and processes, as well as light accounting, for a startup so I'm paid more for that work than the average property manager.",
4/24/2019 11:45:31,45-54,Biotech ,Exec Assistant to the CEO,100000,USD,San Diego ,21 - 30 years,,
4/24/2019 11:45:31,45-54,Higher Education,Director,"88,000",USD,"Northern New York, USA",31 - 40 years,Academic Affairs / Career Services,
4/24/2019 11:45:32,45-54,Lighting & Signing,Office Manager,42000,USD,Charlotte NC USA,21 - 30 years,,
4/24/2019 11:45:32,25-34,Tech,Hardware Engineer,72000,USD,"St. Louis, MO, USA",2 - 4 years,,
4/24/2019 11:45:32,35-44,Engineer Consulting,Environmental Scientist,"80,000",USD,Southwest Virginia,11 - 20 years,,
4/24/2019 11:45:33,25-34,Consulting,Consultant,"75,000",USD,"Washington, DC",8 - 10 years,,
4/24/2019 11:45:33,35-44,Veterinary medicine ,Veterinary technician,"$18.53/hr or $35,600/yr",USD,"Pittsburgh, Pa, USA",11 - 20 years,Specialty medicine within a referral hospital ,
